time,left_arm,right_arm,left_leg,right_leg
2019-03-10 03:41:58,11.11,22.22,33.33,44.44
2019-03-10 03:41:57,11.11,22.22,33.33,44.44
2019-03-10 03:41:56,11.11,22.22,33.33,44.44
2019-03-10 03:32:55,11.11,22.22,33.33,44.44
2019-03-10 03:32:54,11.11,22.22,33.33,44.44
2019-03-10 03:32:53,11.11,22.22,33.33,44.44
2019-03-10 03:32:52,11.11,22.22,33.33,44.44
2019-03-10 03:24:33,11.11,22.22,33.33,44.44
2019-03-10 03:24:32,11.11,22.22,33.33,44.44
2019-03-10 03:24:31,11.11,22.22,33.33,44.44
2019-03-10 03:24:30,11.11,22.22,33.33,44.44
2019-03-10 03:24:29,11.11,22.22,33.33,44.44
