time,left_arm,right_arm,left_leg,right_leg
2019-07-11 12:16:21,1.2059,1.2308,1.1068,0.9997
2019-07-11 12:16:16,1.0348,1.014,1.129,1.1435
2019-07-11 12:16:15,1.0578,0.9099,1.0102,1.0979
2019-07-11 12:16:12,1.0684,0.9929,0.9983,1.0549
2019-07-11 12:16:08,1.0211,1.0137,0.9874,1.2274
2019-07-11 12:16:05,1.0288,0.9823,1.029,1.0445
2019-07-11 12:16:04,1.066,0.9578,0.9823,0.9631
2019-07-11 12:16:01,1.0164,0.8631,0.9036,1.0191
2019-07-11 12:15:57,1.0898,1.0168,0.982,1.128
2019-07-11 12:15:56,0.7224,0.9168,0.9698,1.0469
2019-07-11 12:15:55,0.9698,0.9539,0.9723,1.0973
2019-07-11 12:15:54,1.0631,1.0652,0.9223,1.0995
2019-07-11 12:15:53,1.0617,0.9852,1.0197,1.0153
2019-07-11 12:15:51,1.1524,0.8038,0.9578,1.072
2019-07-11 12:15:49,1.0462,0.9235,1.0394,1.1992
2019-07-11 12:15:44,1.027,0.9925,1.0102,1.0603
2019-07-11 12:15:41,1.0544,0.945,0.9866,1.0607
2019-07-11 12:15:40,0.9915,0.8652,1.0354,1.0394
2019-07-11 12:15:38,1.0366,0.9925,0.9707,1.032
2019-07-11 12:15:35,1.107,0.8746,0.9922,1.0674
2019-07-11 12:15:34,1.0191,1.0057,0.9836,1.0435
2019-07-11 12:15:33,1.0118,0.9842,0.9807,1.0435
2019-07-11 12:15:30,1.0041,0.9874,0.9825,1.0476
2019-07-11 12:15:28,1.0328,1.0042,1.0049,1.0343
