time,left_arm,right_arm,left_leg,right_leg
2019-07-28 15:59:13,0.9529,1.2041,1.0742,1.0817
2019-07-28 15:59:11,1.7902,1.0021,2.0022,1.2629
2019-07-28 15:59:09,1.3108,1.3359,2.1274,0.479
2019-07-28 15:59:07,0.5446,1.0717,1.0589,1.0413
2019-07-28 15:59:04,1.1055,0.8455,2.6391,0.9234
2019-07-28 15:59:02,1.0171,1.2225,1.4785,1.0213
2019-07-28 15:58:59,1.0381,1.2822,0.8467,1.0084
2019-07-28 15:58:58,0.9736,1.2934,0.9955,1.0144
2019-07-28 15:58:56,1.0579,0.9322,1.0405,0.5524
2019-07-28 15:58:55,1.0977,1.1578,0.8213,1.5674
2019-07-28 15:58:54,1.1688,0.3172,1.4274,1.437
2019-07-28 15:58:51,0.8934,1.0053,1.0405,1.0757
2019-07-28 15:58:49,0.9405,1.0419,1.3271,0.9713
2019-07-28 15:58:46,1.1449,0.9882,1.0637,1.0007
2019-07-28 15:58:44,1.042,1.1124,1.1048,0.7032
2019-07-28 15:58:42,1.0481,1.1057,1.0684,1.5138
2019-07-28 15:58:40,0.943,1.0725,1.0532,1.0861
2019-07-28 15:58:39,0.9923,0.9742,0.7926,1.0578
2019-07-28 15:58:37,0.9263,1.1917,1.4941,1.0988
2019-07-28 15:58:36,1.1377,1.7242,1.9795,1.0855
2019-07-28 15:58:33,1.3915,0.9953,0.5809,0.9954
2019-07-28 15:58:31,1.0821,1.0913,1.0226,0.9738
2019-07-28 15:58:30,0.9315,1.1507,2.85,0.9478
2019-07-28 15:58:29,1.0972,1.1584,0.7075,1.5084
2019-07-28 15:58:28,1.1434,1.0531,0.9093,1.103
2019-07-28 15:58:25,1.0213,1.0794,1.0752,1.128
2019-07-28 15:58:24,0.9839,1.0972,1.0031,0.9823
2019-07-28 15:58:23,1.0487,1.0968,1.0279,1.0346
2019-07-28 15:58:22,1.0898,1.0583,1.0163,1.0157
2019-07-28 15:58:20,1.0416,1.1416,0.9788,1.0636
2019-07-28 15:58:19,1.0078,1.1299,1.0239,1.0639
2019-07-28 15:58:17,1.1054,1.2423,1.1113,1.0708
2019-07-28 15:58:16,0.9933,2.2324,1.0187,0.991
2019-07-28 15:58:15,1.0714,1.1142,0.8088,1.009
2019-07-28 15:58:13,1.3053,1.1882,1.527,1.7878
2019-07-28 15:58:10,1.382,1.091,1.0634,0.9659
2019-07-28 15:58:09,1.0324,1.03,1.0875,1.0115
2019-07-28 15:58:07,1.0559,1.0497,1.037,0.9881
2019-07-28 15:58:05,0.9534,1.0542,0.9779,0.9933
2019-07-28 15:58:04,0.9976,1.0687,1.0114,0.969
2019-07-28 15:57:17,0.9043,1.1364,1.1188,0.9335
2019-07-28 15:57:15,1.0764,1.0995,0.8538,1.0893
2019-07-28 15:57:13,0.9517,1.0764,1.1028,1.0443
2019-07-28 15:57:10,0.7672,1.0797,1.0966,1.0184
2019-07-28 15:57:08,0.93,1.0968,1.0854,1.1025
2019-07-28 15:57:06,1.1212,1.0944,0.9377,0.9102
2019-07-28 15:57:05,1.0743,1.074,0.9611,1.0508
2019-07-28 15:57:02,1.0678,1.1364,1.014,1.0207
2019-07-28 15:57:01,1.0401,1.09,0.9284,1.0607
2019-07-28 15:57:00,1.0614,1.0981,1.0132,1.0078
2019-07-28 15:56:59,1.0648,1.0883,1.305,1.0808
2019-07-28 15:56:58,1.09,1.0894,0.6862,1.3284
2019-07-28 15:56:57,0.6054,1.1055,1.1825,1.1175
2019-07-28 15:56:54,1.0699,1.0566,1.3463,0.9314
2019-07-28 15:56:51,1.0578,1.1262,0.9124,1.1483
2019-07-28 15:56:50,0.8078,1.0944,0.8691,0.973
2019-07-28 15:56:49,0.9244,1.1378,1.1948,1.0198
2019-07-28 15:56:47,0.8732,1.0944,0.9484,1.0422
2019-07-28 15:56:46,0.8505,1.1148,1.0375,1.083
2019-07-28 15:56:45,1.0452,1.1124,0.9451,0.942
2019-07-28 15:56:42,0.9925,1.059,1.299,1.2467
2019-07-28 15:56:40,1.0121,0.7765,0.9343,0.9924
2019-07-28 15:56:39,1.0238,1.1044,0.9788,1.0318
2019-07-28 15:56:38,0.9936,1.1554,0.8363,0.9984
2019-07-28 15:56:37,1.0309,1.1296,1.3333,0.8785
2019-07-28 15:56:36,1.0124,1.146,1.004,0.8866
2019-07-28 15:56:33,1.0325,1.0949,0.9696,2.1386
2019-07-28 15:56:32,1.2349,1.0902,1.033,1.4277
2019-07-28 15:56:29,1.0167,1.1313,0.9646,1.0008
2019-07-28 15:56:27,0.9761,1.1283,1.1175,1.2301
2019-07-28 15:56:26,2.6423,1.0914,1.0659,1.0397
2019-07-28 15:56:25,1.0366,1.1045,0.9852,0.8997
2019-07-28 15:56:22,1.0842,1.1759,1.0573,1.0077
2019-07-28 15:56:21,1.1423,1.0742,1.051,0.9144
2019-07-28 15:56:19,1.1199,1.0806,1.356,1.1133
2019-07-28 15:56:18,0.9192,1.1169,1.0343,1.0761
2019-07-28 15:56:17,0.953,1.1657,0.4284,1.0033
2019-07-28 15:56:16,0.9506,1.1342,0.9652,1.0126
2019-07-28 15:56:13,0.9233,1.1118,1.1523,1.0302
2019-07-28 15:56:12,0.9884,1.1158,0.962,0.982
