time,left_arm,right_arm,left_leg,right_leg
2019-07-11 13:44:41,1.0497,1.1995,0.9924,1.0412
2019-07-11 13:44:40,1.049,1.0259,0.9704,1.0554
2019-07-11 13:44:39,2.161,0.8112,0.9411,1.0138
2019-07-11 13:44:32,0.9477,1.294,1.001,1.2315
2019-07-11 13:44:31,1.3014,1.2069,0.3865,1.1747
2019-07-11 13:44:30,1.0883,1.2369,0.2234,1.5812
2019-07-11 13:44:29,1.0686,1.3672,1.1158,0.9609
2019-07-11 13:44:25,1.1634,1.157,1.0258,1.2291
2019-07-11 13:44:24,1.1247,0.9181,1.1172,1.064
2019-07-11 13:44:21,1.2002,1.0362,0.9836,1.2398
2019-07-11 13:44:20,1.6401,0.9504,0.9609,1.1516
2019-07-11 13:44:19,1.022,1.0122,0.9996,1.0215
2019-07-11 13:44:17,1.0377,0.9501,0.9932,1.0017
2019-07-11 13:44:17,1.2123,3.3,1.0144,1.1319
2019-07-11 13:44:14,1.0658,1.2439,0.9889,0.9725
2019-07-11 13:43:58,1.0281,1.0672,0.9445,0.9743
